bene	Adverb
benvenuto	Adjektiv
benzina	Substantiv
bere	Verb
bianco	Adjektiv
bibita	Substantiv
biblioteca	Substantiv
bicchiere	Substantiv
bici	Substantiv
bicicletta	Substantiv
biglietteria	Substantiv
biglietto	Substantiv
bilancia	Substantiv
bilocale	Substantiv
binario	Substantiv
biondo	Adjektiv
birra	Substantiv
bisognare	Verb
bisogno	Substantiv
bistecca	Substantiv
blu	Adjektiv
bocca	Substantiv
bocciare	Verb
bollente	Adjektiv
bollire	Verb
borsa	Substantiv
bosco	Substantiv
bottiglia	Substantiv
braccio	Substantiv
breve	Adjektiv
bruciarsi	Verb
brutto	Adjektiv
buio	Substantiv
buonanotte	Interjektion
buonasera	Interjektion
buongiorno	Interjektion
buono	Adjektiv
burro	Substantiv
busta	Substantiv
buttare	Verb
cadere	Verb
caffè	Substantiv
calcio	Substantiv
caldo	Adjektiv
caldo	Substantiv
calma	Substantiv
calmarsi	Verb
calmo	Adjektiv
calza	Substantiv
cambiare	Verb
camera	Substantiv
cameriera	Substantiv
cameriere	Substantiv
camicia	Substantiv
camion	Substantiv
camminare	Verb
campagna	Substantiv
campeggio	Substantiv
camper	Substantiv
campo	Substantiv
canale	Substantiv
cane	Substantiv
canguro	Substantiv
cantante	Substantiv
cantare	Verb
cantina	Substantiv
canzone	Substantiv
capace	Adjektiv
capello	Substantiv
capire	Verb
capo	Substantiv
capodanno	Substantiv
cappello	Substantiv
cappotto	Substantiv
cappuccino	Substantiv
caricare	Verb
carne	Substantiv
carnevale	Substantiv
caro	Adjektiv
carota	Substantiv
carta	Substantiv
cartolina	Substantiv
cartone	Substantiv
casa	Substantiv
casalinga	Substantiv
casalingo	Substantiv
cassa	Substantiv
cassettiera	Substantiv
castano	Adjektiv
cattivo	Adjektiv
causa	Substantiv
cavallo	Substantiv
cd	Substantiv
cellulare	Substantiv
cena	Substantiv
cenare	Verb
centimetro	Substantiv
centro	Substantiv
cercare	Verb
cerotto	Substantiv
certamente	Adverb
cervello	Substantiv
che	Pronomen
che	Konjunktion
check-in	Substantiv
chi	Pronomen
chiacchierare	Verb
chiamare	Verb
chiamarsi	Verb
chiaro	Adjektiv
chiave	Substantiv
chiedere	Verb
chiesa	Substantiv
chilo	Substantiv
chilometro	Substantiv
chiudere	Verb
ci	Pronomen
ci	Pronominalpartikel
ciao	Interjektion
cibo	Substantiv
cielo	Substantiv
cimitero	Substantiv
cin-cin	Interjektion
cinema	Substantiv
cioccolato	Substantiv
cioè	Konjunktion
cipolla	Substantiv
circa	Adverb
città	Substantiv
classe	Substantiv
classico	Adjektiv
cliccare	Verb
cliente	Substantiv
clima	Substantiv
clinica	Substantiv
cognata	Substantiv
cognato	Substantiv
cognome	Substantiv
coincidenza	Substantiv
colazione	Substantiv
collana	Substantiv
collega	Substantiv
collegio	Substantiv
collezionare	Verb
collezione	Substantiv
collina	Substantiv
colloquio	Substantiv
colorare	Verb
colore	Substantiv
colpa	Substantiv
coltello	Substantiv
come	Adverb
cominciare	Verb
commedia	Substantiv
commessa	Substantiv
commesso	Substantiv
comodino	Substantiv
comodo	Adjektiv
compagnia	Substantiv
compagna	Substantiv
compagno	Substantiv
compilare	Verb
compito	Substantiv
compleanno	Substantiv
complemento	Substantiv
completo	Adjektiv
complicare	Verb
complimento	Substantiv
comportarsi	Verb
comprare	Verb
computer	Substantiv
Comune	Substantiv
comunicare	Verb
comunicazione	Substantiv
comunque	Konjunktion
con	Präposition
concerto	Substantiv
concorso	Substantiv
condizionare	Verb
condoglianza	Substantiv
condominio	Substantiv
confine	Substantiv
confuso	Adjektiv
congratulazione	Substantiv
connettersi	Verb
conoscenza	Substantiv
conoscere	Verb
consegnare	Verb
consigliare	Verb
consiglio	Substantiv
consolato	Substantiv
contante	Substantiv
contattare	Verb
contemporaneo	Adjektiv
contento	Adjektiv
continuare	Verb
conto	Substantiv
contorno	Substantiv
conversazione	Substantiv
coperta	Substantiv
copia	Substantiv
coppia	Substantiv
coraggio	Interjektion
cordiale	Adjektiv
cordialmente	Adverb
corpo	Substantiv
correggere	Verb
corrente	Adjektiv
correre	Verb
corso	Substantiv
corto	Adjektiv
cosa	Substantiv
così	Adverb
costare	Verb
costo	Substantiv
costoso	Adjektiv
costruire	Verb
costruzione	Substantiv
cotone	Substantiv
credere	Verb
credito	Substantiv
crema	Substantiv
crepare	Verb
crociera	Substantiv
crudo	Adjektiv
cucchiaio	Substantiv
cucina	Substantiv
cucinare	Verb
cugina	Substantiv
cugino	Substantiv
cui	Pronomen
cultura	Substantiv
cuocere	Verb
cuore	Substantiv
curioso	Adjektiv
curriculum vitae	Substantiv
cuscino	Substantiv
da	Präposition
dappertutto	Adverb
dare	Verb
data	Substantiv
davanti	Adverb
davanti	Präposition
davvero	Adverb
debole	Adjektiv
decidere	Verb
denaro	Substantiv
dente	Substantiv
dentifricio	Substantiv
dentista	Substantiv
dentro	Adverb
dentro	Präposition
deprimere	Verb
descrivere	Verb
destra	Substantiv
dettato	Substantiv
di	Präposition
dialetto	Substantiv
dialogo	Substantiv
diario	Substantiv
dicembre	Substantiv
dieta	Substantiv
dietro	Adverb
dietro	Präposition
differente	Adjektiv
difficile	Adjektiv
dimenticare	Verb
dimenticarsi	Verb
dipendere	Verb
dipingere	Verb
dipinto	Substantiv
diploma	Substantiv
diplomarsi	Verb
dire	Verb
direttamente	Adverb
direttore	Substantiv
direttrice	Substantiv
direzione	Substantiv
discesa	Substantiv
discoteca	Substantiv
disegnare	Verb
disoccupata	Adjektiv
disoccupata	Substantiv
disoccupato	Adjektiv
disuccupato	Substantiv
dispensa	Substantiv
disperare	Verb
dispiacere	Verb
distinto	Adjektiv
distributore	Substantiv
dito	Substantiv
ditta	Substantiv
divano	Substantiv
diventare	Verb
diverso	Adjektiv
divertente	Adjektiv
divertimento	Substantiv
divertirsi	Verb
divorziare	Verb
dizionario	Substantiv
doccia	Substantiv
documentario	Substantiv
documento	Substantiv
dogana	Substantiv
dolce	Adjektiv
dolce	Substantiv
dolore	Substantiv
domanda	Substantiv
domandare	Verb
domani	Adverb
domenica	Substantiv
donna	Substantiv
dopo	Adverb
dopo	Präposition
dopodomani	Adverb
doppio	Adjektiv
dormire	Verb
dottore	Substantiv
dottoressa	Substantiv
dove	Adverb
dovere	Verb
dritto	Adverb
dunque	Konjunktion
duomo	Substantiv
durante	Präposition
durare	Verb
duro	Adjektiv
e	Konjunktion
eccezionale	Adjektiv
ecco	Interjektion
economia	Substantiv
egoista	Adjektiv
egregio	Adjektiv
eh	Interjektion
elegante	Adjektiv
elementare	Adjektiv
elettricista	Substantiv
elicottero	Substantiv
e-mail	Substantiv
emergenza	Substantiv
emozione	Substantiv
entrare	Verb
entrata	Substantiv
erba	Substantiv
errore	Substantiv
esame	Substantiv
esempio	Substantiv
esercizio	Substantiv
esperienza	Substantiv
esprimere	Verb
essere	Verb
est	Substantiv
estate	Substantiv
estero	Substantiv
estroverso	Adjektiv
età	Substantiv
etto	Substantiv
euro	Substantiv
fabbrica	Substantiv
faccia	Substantiv
facile	Adjektiv
facoltà	Substantiv
falso	Adjektiv
fame	Substantiv
famiglia	Substantiv
famoso	Adjektiv
fantastico	Adjektiv
fare	Verb
farina	Substantiv
farmacia	Substantiv
fattoria	Substantiv
favola	Substantiv
favore	Substantiv
fax	Substantiv
febbraio	Substantiv
febbre	Substantiv
felice	Adjektiv
felicità	Substantiv
femmina	Substantiv
femminile	Adjektiv
feria	Substantiv
ferire	Verb
ferirsi	Verb
ferita	Substantiv
fermare	Verb
fermarsi	Verb
fermata	Substantiv
fermo	Adjektiv
ferro	Substantiv
festa	Substantiv
festeggiare	Verb
fetta	Substantiv
fiammifero	Substantiv
fiction	Substantiv
fidanzata	Substantiv
fidanzato	Substantiv
figlia	Substantiv
figlio	Substantiv
film	Substantiv
finale	Adjektiv
finalmente	Adverb
fine	Substantiv
finestra	Substantiv
finire	Verb
fino	Präposition
fiore	Substantiv
firma	Substantiv
firmare	Verb
fiume	Substantiv
foglio	Substantiv
fontana	Substantiv
forchetta	Substantiv
forma	Substantiv
formaggio	Substantiv
fornello	Substantiv
forno	Substantiv
forse	Adverb
forte	Adjektiv
fortuna	Substantiv
forza	Substantiv
forza	Interjektion
fotografia	Substantiv
fra	Präposition
francobollo	Substantiv
frase	Substantiv
fratello	Substantiv
freddo	Substantiv
freddo	Adjektiv
freezer	Substantiv
freno	Substantiv
frequentare	Verb
fresco	Adjektiv
fretta	Substantiv
friggere	Verb
frigorifero	Substantiv
fronte	Substantiv
frullatore	Substantiv
frutta	Substantiv
fulmine	Substantiv
fumare	Verb
fumetto	Substantiv
fumo	Substantiv
funzionare	Verb
fuoco	Substantiv
fuori	Adverb
fuori	Präposition
futuro	Substantiv
gamba	Substantiv
gara	Substantiv
garage	Substantiv
gas	Substantiv
gatto	Substantiv
gelato	Substantiv
gelato	Adjektiv
generalmente	Adverb
genere	Substantiv
genero	Substantiv
generoso	Adjektiv
genitore	Substantiv
gennaio	Substantiv
gente	Substantiv
gentile	Adjektiv
geografia	Substantiv
ghiaccio	Substantiv
già	Adverb
giacca	Substantiv
giallo	Adjektiv
giardinaggio	Substantiv
giardino	Substantiv
ginnastica	Substantiv
giocare	Verb
giocatore	Substantiv
giocatrice	Substantiv
giocattolo	Substantiv
gioco	Substantiv
gioia	Substantiv
giornale	Substantiv
giornalista	Substantiv
giornata	Substantiv
giorno	Substantiv
giovane	Adjektiv
giovedì	Substantiv
girare	Verb
giro	Substantiv
gita	Substantiv
giù	Adverb
giugno	Substantiv
giusto	Adjektiv
gli	Artikel
gli	Pronomen
gonna	Substantiv
grado	Substantiv
grammo	Substantiv
grande	Adjektiv
grasso	Adjektiv
gratis	Adverb
grazie	Interjektion
grigio	Adjektiv
grosso	Adjektiv
gruppo	Substantiv
guadagnare	Verb
guanto	Substantiv
guardare	Verb
guarire	Verb
guasto	Adjektiv
guasto	Substantiv
guida	Substantiv
guidare	Verb
gusto	Substantiv
hobby	Substantiv
hotel	Substantiv
i	Artikel
idea	Substantiv
identità	Substantiv
idraulico	Substantiv
ieri	Adverb
il	Artikel
immaginare	Verb
imparare	Verb
impaziente	Adjektiv
impegnare	Verb
impegno	Substantiv
impermeabile	Substantiv
impianto	Substantiv
impiegata	Substantiv
impiegato	Substantiv
importante	Adjektiv
importare	Verb
impossibile	Adjektiv
improbabile	Adjektiv
improvvisamente	Adverb
improvviso	Adjektiv
in	Präposition
incendio	Substantiv
incidente	Substantiv
incominciare	Verb
incontrare	Verb
incontrarsi	Verb
incredibile	Adjektiv
incrocio	Substantiv
incubo	Substantiv
indietro	Adverb
indifferente	Adjektiv
indimenticabile	Adjektiv
indirizzo	Substantiv
indossare	Verb
industria	Substantiv
infatti	Konjunktion
infermiera	Substantiv
infermiere	Substantiv
infine	Adverb
informare	Verb
informazione	Substantiv
ingegnere	Substantiv
iniziare	Verb
inizio	Substantiv
innamorarsi	Verb
inoltre	Adverb
insalata	Substantiv
insegnante	Substantiv
insegnare	Verb
insieme	Adverb
insipido	Adjektiv
insomma	Adverb
intelligente	Adjektiv
interessante	Adjektiv
interessarsi	Verb
internazionale	Adjektiv
internet	Substantiv
intorno	Adverb
introverso	Adjektiv
inutile	Adjektiv
invece	Konjunktion
inventare	Verb
inverno	Substantiv
inviare	Verb
invitare	Verb
io	Pronomen
isola	Substantiv
istituto	Substantiv
italiano	Substantiv
la	Artikel
la	Pronomen
là	Adverb
ladra	Substantiv
ladro	Substantiv
lago	Substantiv
lampada	Substantiv
lana	Substantiv
largo	Adjektiv
lasciare	Verb
latte	Substantiv
laurea	Substantiv
laurearsi	Verb
lavagna	Substantiv
lavanderia	Substantiv
lavandino	Substantiv
lavare	Verb
lavarsi	Verb
lavastoviglie	Substantiv
lavatrice	Substantiv
lavorare	Verb
lavoro	Substantiv
le	Artikel
le	Pronomen
leggere	Verb
leggero	Adjektiv
legno	Substantiv
lei	Pronomen
lentamente	Adverb
lento	Adjektiv
lenzuolo	Substantiv
leone	Substantiv
lettera	Substantiv
letto	Substantiv
lezione	Substantiv
li	Pronomen
lì	Adverb
libero	Adjektiv
libreria	Substantiv
libro	Substantiv
liceo	Substantiv
linea	Substantiv
lingua	Substantiv
liquido	Adjektiv
lirica	Adjektiv
lirica	Substantiv
liscio	Adjektiv
litro	Substantiv
livello	Substantiv
lo	Artikel
lo	Pronomen
locale	Substantiv
lontano	Adjektiv
lontano	Adverb
loro	Pronomen
loro	Adjektiv
lotto	Substantiv
luce	Substantiv
luglio	Substantiv
lui	Pronomen
luna	Substantiv
lunedì	Substantiv
lungo	Adjektiv
luogo	Substantiv
lupo	Substantiv
ma	Konjunktion
macchina	Substantiv
madre	Substantiv
maestra	Substantiv
maestro	Substantiv
maggio	Substantiv
maggiore	Adjektiv
maglietta	Substantiv
maglione	Substantiv
magnifico	Adjektiv
magro	Adjektiv
mai	Adverb
maiale	Substantiv
malato	Adjektiv
malattia	Substantiv
male	Adverb
mamma	Substantiv
mancare	Verb
mancia	Substantiv
mandare	Verb
mangiare	Verb
manica	Substantiv
mano	Substantiv
marca	Substantiv
marciapiede	Substantiv
mare	Substantiv
marito	Substantiv
marrone	Adjektiv
martedì	Substantiv
marzo	Substantiv
maschile	Adjektiv
maschio	Substantiv
master	Substantiv
massimo	Adjektiv
matematica	Substantiv
materia	Substantiv
matita	Substantiv
matrimonio	Substantiv
mattina	Substantiv
me	Pronomen
meccanico	Substantiv
medicina	Substantiv
medico	Substantiv
medio	Adjektiv
meglio	Adverb
meglio	Adjektiv
mela	Substantiv
meno	Adverb
mensa	Substantiv
mensile	Substantiv
mensola	Substantiv
mentre	Konjunktion
menù	Substantiv
meraviglioso	Adjektiv
mercato	Substantiv
mercoledì	Substantiv
merenda	Substantiv
mese	Substantiv
messaggio	Substantiv
metà	Substantiv
metallo	Substantiv
metro	Substantiv
metropoli	Substantiv
metro	Substantiv
metro	Substantiv
metropolitana	Substantiv
mettere	Verb
mettersi	Verb
mezzanotte	Substantiv
mezzo	Adjektiv
mezzogiorno	Substantiv
mi	Pronomen
migliorare	Verb
migliore	Adjektiv
minestra	Substantiv
minimo	Adjektiv
minore	Adjektiv
minuto	Substantiv
mio	Adjektiv
mio	Pronomen
mite	Adjektiv
mobile	Substantiv
moda	Substantiv
moderno	Adjektiv
modo	Substantiv
modulo	Substantiv
moglie	Substantiv
molto	Adjektiv
molto	Adverb
momento	Substantiv
mondo	Substantiv
moneta	Substantiv
monolocale	Substantiv
montagna	Substantiv
monumento	Substantiv
morire	Verb
morte	Substantiv
mostra	Substantiv
motivo	Substantiv
moto	Substantiv
motocicletta	Substantiv
motore	Substantiv
motorino	Substantiv
mucca	Substantiv
muovere	Verb
muoversi	Verb
mettere	Verb
mettersi	Verb
muro	Substantiv
museo	Substantiv
musica	Substantiv
musicale	Adjektiv
nascere	Verb
nascondere	Verb
naso	Substantiv
Natale	Substantiv
natura	Substantiv
naturale	Adjektiv
nave	Substantiv
navigare	Verb
nazionalità	Substantiv
nazione	Substantiv
ne	Pronominalpartikel
né	Konjunktion
neanche	Adverb
neanche	Konjunktion
nebbia	Substantiv
necessario	Adjektiv
negativo	Adjektiv
negozio	Substantiv
nero	Adjektiv
nervoso	Adjektiv
nessuno	Pronomen
nessuno	Adjektiv
neve	Substantiv
nevicare	Verb
niente	Pronomen
niente	Adverb
nipote	Substantiv
no	Adverb
noi	Pronomen
noioso	Adjektiv
noleggiare	Verb
nome	Substantiv
non	Adverb
nonna	Substantiv
nonno	Substantiv
nord	Substantiv
normale	Adjektiv
nostalgia	Substantiv
nostro	Adjektiv
nostro	Pronomen
notizia	Substantiv
notte	Substantiv
novembre	Substantiv
novità	Substantiv
numero	Substantiv
nuora	Substantiv
nuotare	Verb
nuoto	Substantiv
nuovo	Adjektiv
nuvola	Substantiv
nuvoloso	Adjektiv
o	Konjunktion
obbligatorio	Adjektiv
occasione	Substantiv
occhiale	Substantiv
occhio	Substantiv
occupare	Verb
occuparsi	Verb
odiare	Verb
odio	Substantiv
odore	Substantiv
offerta	Substantiv
offrire	Verb
oggetto	Substantiv
oggi	Adverb
ogni	Adjektiv
ok	Interjektion
olio	Substantiv
ombrello	Substantiv
onesto	Adjektiv
opera	Substantiv
operaio	Substantiv
operaia	Substantiv
opinione	Substantiv
oppure	Konjunktion
ora	Substantiv
ora	Adverb
orario	Substantiv
ordinare	Verb
ordine	Substantiv
orecchio	Substantiv
organizzare	Verb
oro	Substantiv
orologio	Substantiv
orribile	Adjektiv
ospedale	Substantiv
ospitalità	Substantiv
ospite	Substantiv
osservare	Verb
ottimista	Adjektiv
ottimo	Adjektiv
ottobre	Substantiv
ovale	Adjektiv
ovest	Substantiv
pacco	Substantiv
padella	Substantiv
padre	Substantiv
padrona	Substantiv
padrone	Substantiv
paese	Substantiv
pagare	Verb
pagina	Substantiv
paio	Substantiv
palazzo	Substantiv
palestra	Substantiv
palla	Substantiv
pallacanestro	Substantiv
pane	Substantiv
panino	Substantiv
pantalone	Substantiv
papà	Substantiv
parcheggio	Substantiv
parco	Substantiv
parente	Substantiv
parere	Substantiv
parete	Substantiv
parlare	Verb
parola	Substantiv
parte	Substantiv
partecipare	Verb
partenza	Substantiv
particolarmente	Adverb
partire	Verb
partita	Substantiv
Pasqua	Substantiv
passaggio	Substantiv
passaporto	Substantiv
passare	Verb
passato	Substantiv
passeggiare	Verb
passeggiata	Substantiv
passione	Substantiv
pasta	Substantiv
pasto	Substantiv
patata	Substantiv
patente	Substantiv
paura	Substantiv
pausa	Substantiv
pavimento	Substantiv
pazienza	Substantiv
peccato	Substantiv
pediatra	Substantiv
pedonale	Adjektiv
peggio	Adverb
peggio	Adjektiv
peggiorare	Verb
peggiore	Adjektiv
pelle	Substantiv
penna	Substantiv
pensare	Verb
pensione	Substantiv
pentola	Substantiv
pepe	Substantiv
per	Präposition
pera	Substantiv
perché	Adverb
perché	Konjunktion
perciò	Konjunktion
perdere	Verb
perfetto	Adjektiv
periferia	Substantiv
periodo	Substantiv
permesso	Substantiv
però	Konjunktion
persona	Substantiv
pesante	Adjektiv
pesare	Verb
pescare	Verb
pesce	Substantiv
pessimista	Adjektiv
pessimo	Adjektiv
pettine	Substantiv
pezzo	Substantiv
phon	Substantiv
piacere	Verb
piacere	Substantiv
piacevole	Adjektiv
piangere	Verb
piano	Adverb
piano	Substantiv
pianta	Substantiv
piatto	Substantiv
piazza	Substantiv
piccante	Adjektiv
piccolo	Adjektiv
piede	Substantiv
piegare	Verb
piegarsi	Verb
pieno	Adjektiv
pieno	Substantiv
pigro	Adjektiv
pillola	Substantiv
pioggia	Substantiv
piovere	Verb
pipa	Substantiv
piscina	Substantiv
pisello	Substantiv
pittore	Substantiv
pittrice	Substantiv
pittura	Substantiv
più	Adverb
piuttosto	Adverb
pizza	Substantiv
pizzeria	Substantiv
pizzico	Substantiv
plastica	Substantiv
plurale	Adjektiv
plurale	Substantiv
po’	Adverb
poco	Adjektiv
poco	Adverb
poesia	Substantiv
poeta	Substantiv
poetessa	Substantiv
poi	Adverb
polizia	Substantiv
pollo	Substantiv
poltrona	Substantiv
pomeriggio	Substantiv
pomodoro	Substantiv
pompiere	Substantiv
ponte	Substantiv
pop	Substantiv
pop	Adjektiv
porta	Substantiv
portare	Verb
porto	Substantiv
posacenere	Substantiv
posata	Substantiv
positivo	Adjektiv
possibile	Adjektiv
possibilità	Substantiv
posta	Substantiv
postino	Substantiv
posto	Substantiv
potere	Verb
povero	Adjektiv
pranzare	Verb
pranzo	Substantiv
praticamente	Adverb
pratico	Adjektiv
prato	Substantiv
precedente	Adjektiv
preferire	Verb
prefisso	Substantiv
pregare	Verb
prego	Interjektion
premere	Verb
prendere	Verb
prenotare	Verb
preoccuparsi	Verb
preparare	Verb
preposizione	Substantiv
presentare	Verb
preside	Substantiv
prestare	Verb
presto	Adverb
previsione	Substantiv
prezzemolo	Substantiv
prezzo	Substantiv
prima	Adverb
primavera	Substantiv
primo	Adjektiv
primo	Substantiv
probabile	Adjektiv
probabilmente	Adverb
problema	Substantiv
prodotto	Substantiv
professore	Substantiv
professoressa	Substantiv
profondo	Adjektiv
profumo	Substantiv
programma	Substantiv
promettere	Verb
promuovere	Verb
pronome	Substantiv
pronto	Adjektiv
pronuncia	Substantiv
proporre	Verb
proprio	Adverb
prosciutto	Substantiv
prossimo	Adjektiv
protagonista	Substantiv
provare	Verb
pubblicità	Substantiv
pulire	Verb
pulizia	Substantiv
punto	Substantiv
pure	Konjunktion
purtroppo	Adverb
qua	Adverb
quaderno	Substantiv
quadrato	Adjektiv
quadro	Substantiv
quadro	Adjektiv
qualche	Adjektiv
qualcosa	Pronomen
qualcuno	Pronomen
quale	Pronomen
quale	Adjektiv
qualsiasi	Pronomen
qualsiasi	Adjektiv
quando	Konjunktion
quando	Adverb
quanto	Adjektiv
quanto	Pronomen
quanto	Adverb
quartiere	Substantiv
quarto	Substantiv
quasi	Adverb
quello	Adjektiv
quello	Pronomen
questo	Adjektiv
questo	Pronomen
questura	Substantiv
qui	Adverb
quindi	Adverb
quindi	Konjunktion
quotidiano	Substantiv
racchetta	Substantiv
raccogliere	Verb
raccomandata	Substantiv
raccontare	Verb
radio	Substantiv
raffreddore	Substantiv
ragazza	Substantiv
ragazzo	Substantiv
ragione	Substantiv
raramente	Adverb
regalare	Verb
regalo	Substantiv
regista	Substantiv
rendere	Verb
reparto	Substantiv
restare	Verb
restituire	Verb
resto	Substantiv
rettangolare	Adjektiv
rettore	Substantiv
riassumere	Verb
riccio	Adjektiv
ricco	Adjektiv
ricetta	Substantiv
ricevere	Verb
ricordare	Verb
ricordarsi	Verb
ricordo	Substantiv
ridere	Verb
rilassarsi	Verb
rimanere	Verb
ringraziare	Verb
riparare	Verb
ripetere	Verb
riposare	Verb
riposarsi	Verb
riscaldamento	Substantiv
riso	Substantiv
rispondere	Verb
risposta	Substantiv
ristorante	Substantiv
risultato	Substantiv
ritardo	Substantiv
ritirare	Verb
ritornare	Verb
ritrovare	Verb
riuscire	Verb
rivista	Substantiv
rock	Substantiv
romantico	Adjektiv
romanzo	Substantiv
rompere	Verb
rompersi	Verb
rosa	Adjektiv
rosso	Adjektiv
rotondo	Adjektiv
roulotte	Substantiv
rubare	Verb
rumore	Substantiv
ruota	Substantiv
sabato	Substantiv
sacco	Substantiv
sala	Substantiv
salame	Substantiv
salato	Adjektiv
saldo	Substantiv
sale	Substantiv
salire	Verb
salita	Substantiv
salotto	Substantiv
salsa	Substantiv
saltare	Verb
salutare	Verb
salute	Substantiv
salute	Interjektion
saluto	Substantiv
salve	Interjektion
sandalo	Substantiv
sano	Adjektiv
sapere	Verb
sapone	Substantiv
sapore	Substantiv
sbagliare	Verb
sbagliarsi	Verb
sbaglio	Substantiv
sbucciare	Verb
scaffale	Substantiv
scala	Substantiv
scaricare	Verb
scarpa	Substantiv
scegliere	Verb
scendere	Verb
schiera	Substantiv
schifo	Substantiv
sci	Substantiv
sciare	Verb
scienza	Substantiv
sciopero	Substantiv
sciroppo	Substantiv
scomodo	Adjektiv
sconto	Substantiv
scontrino	Substantiv
scoprire	Verb
scorso	Adjektiv
scrittore	Substantiv
scrittrice	Substantiv
scrivania	Substantiv
scrivere	Verb
scultore	Substantiv
scultrice	Substantiv
scultura	Substantiv
scuola	Substantiv
scuro	Adjektiv
scusare	Verb
sdraiare	Verb
sdraiarsi	Verb
se	Konjunktion
secco	Adjektiv
secolo	Substantiv
secondo	Substantiv
secondo	Präposition
secondo	Adjektiv
sedersi	Verb
sedia	Substantiv
segretaria	Substantiv
segretario	Substantiv
segreteria	Substantiv
seguente	Adjektiv
seguire	Verb
semaforo	Substantiv
sembrare	Verb
semplice	Adjektiv
sempre	Adverb
sennò	Konjunktion
sentire	Verb
sentirsi	Verb
senza	Präposition
separare	Verb
separarsi	Verb
sera	Substantiv
serata	Substantiv
sereno	Adjektiv
serio	Adjektiv
servire	Verb
seta	Substantiv
sete	Substantiv
settembre	Substantiv
settimana	Substantiv
settimanale	Substantiv
sfortuna	Substantiv
shampoo	Substantiv
si	Pronomen
sì	Adverb
sia	Konjunktion
siccome	Konjunktion
sicuramente	Adverb
sicuro	Adjektiv
sigaretta	Substantiv
sigaro	Substantiv
significare	Verb
signora	Substantiv
signore	Substantiv
silenzio	Substantiv
simile	Adjektiv
simpatico	Adjektiv
singolare	Adjektiv
singolo	Adjektiv
sinistra	Substantiv
sito	Substantiv
situazione	Substantiv
smettere	Verb
sms	Substantiv
soccorso	Substantiv
socievole	Adjektiv
soffitto	Substantiv
